,Job ID,Job Title,Company Name,Career Level,Experience,Posted Date,Job Location,Salary Min,Salary Max
0,5521183,Business Analyst,RABBITB SERVICES SDN. BHD.,Junior Executive,2 years,13 minutes ago,Petaling Jaya,3300,4900
0,5520245,Research Analyst (Finance),Dun & Bradstreet (D&B) Malaysia Sdn Bhd,Entry Level,,20 hours ago,Selangor,,
0,5517322,Data Entry Officer,Binaform Sdn Bhd,Non-Executive,1 year,7-Sep-23,Subang Jaya,1800,3000
0,5513434,Data Analyst,Zempot Malaysia Sdn. Bhd.,Non-Executive,,4-Sep-23,Johor Bahru,,
0,5520913,Investment Performance Reporting & Analytics,AIA Shared Services Malaysia,Senior Executive,7 years,2 hours ago,Cyberjaya,,
0,5521007,IT Business Analyst,Vinda Group SEA,Junior Executive,1 year,an hour ago,Klang/Port Klang,,
0,5512386,Data Analytics Developer / Data Analyst,X-FAB Sarawak Sdn Bhd,Junior Executive,2 years,3-Sep-23,Kuching,,
0,5514233,System Engineer - Data Centre,VSTECS BERHAD,Junior Executive,2 years,5-Sep-23,Kuching,3000,6000
0,5516222,"Assistant Manager, Data Engineering & Management",Credit Guarantee Corporation Malaysia Berhad,Senior Executive,4 years,6-Sep-23,Petaling Jaya,,
0,5514633,Logistic Coordinator - Data Entry,CHEP Malaysia Sdn Bhd,Entry Level,1 year,5-Sep-23,Klang/Port Klang,2000,2500
0,5518512,Oracle SQL Associate - Certification,Selangor Human Resource Development Centre (SHRDC),Junior Executive,,8-Sep-23,Selangor,,
0,5511624,Data Scientist / Artificial Intelligence Associate Staff Engineer,X-FAB Sarawak Sdn Bhd,Senior Executive,2 years,1-Sep-23,Kuching,,
0,5511763,(MCTF) Product Data Analyst (Hybrid Working),SEEK Asia (JobStreet),Junior Executive,3 years,1-Sep-23,Kuala Lumpur,,
0,5511613,Data Management Analyst - Post Market Quality,Cochlear Malaysia Sdn Bhd,Senior Executive,3 years,1-Sep-23,Kuala Lumpur,,
0,5515949,RPA Analyst,Viewpoint Research Corporation Sdn Bhd,Junior Executive,2 years,6-Sep-23,Kajang/Bangi/Serdang,,
0,5515366,Client Services Analyst,WECHAIN FINTECH SDN. BHD.,Junior Executive,2 years,6-Sep-23,Kuala Lumpur,3500,6000
0,5514629,Business Finance Analyst (Contract),CHEP Malaysia Sdn Bhd,Senior Executive,3 years,5-Sep-23,Klang/Port Klang,,
0,5511175,Data Entry,Gavo Sdn Bhd,Junior Executive,1 year,31-Aug-23,Kuala Lumpur,2100,3000
0,5510295,Product Data Analyst (Hybrid Working),SEEK Asia (JobStreet),Junior Executive,3 years,30-Aug-23,Kuala Lumpur,,
0,5518921,Manufacturing Consultant,YGL Intelligent Technology Sdn Bhd,Junior Executive,2 years,8-Sep-23,Kuala Lumpur,3000,4200
0,5512935,Market Analyst,DobiQueen,Junior Executive,2 years,4-Sep-23,Selangor - Others,3500,4500
0,5517042,Real Time Analyst,VENTUREPRO (M) SDN BHD,Junior Executive,2 years,7-Sep-23,Petaling Jaya,4500,4700
0,5512711,Commercial Finance Analyst,MEDIAMONKS MALAYSIA SDN. BHD.,Senior Executive,3 years,4-Sep-23,Kuala Lumpur,5000,7500
0,5509167,IT Data Analysis,"Synergy House Furniture Sdn Bhd - Location at Top Glove Tower, Setia Alam",Senior Executive,2 years,30-Aug-23,Selangor,3000,4200
0,5516020,Cash Management Analyst (Open for graduates),Experian (Malaysia) Sdn Bhd,Entry Level,,6-Sep-23,Cyberjaya,,
0,5513423,Junior Game Business Analyst,Zempot Malaysia Sdn. Bhd.,Non-Executive,,4-Sep-23,Johor,,
0,5518180,"Senior Analyst, Cost Accounting",EVONIK MALAYSIA SDN. BHD.,Entry Level,5 years,8-Sep-23,Subang Jaya,4000,6000
0,5518789,Technology Engagement Partner (Hybrid Working),SEEK Asia (JobStreet),Junior Executive,3 years,8-Sep-23,Kuala Lumpur,,
